Table A. EPMA and QEMSCAN results in wt% for selected sphalerite grains,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Analysis No.,Sample,ParticleID,Raw EPMA data,,,,,,,Normalized EPMA data,,,,,Raw QEMSCAN data,,,,Normalized QEMSCAN data,,
,,,Fe,Zn,Cu,S,Cd,Mn,Total,Fe,Zn,S,Cd,Mn,S,Mn,Fe,Zn,Mn,Fe,Zn
78,Zn-Conc,4774,2.7,63.3,0,32.7,0.2,1,100,2.7,63.3,32.7,0.2,1,34.4,1,3.2,67.2,1,3,62.9
79,Zn-Tails,5164,5,60.5,0,32.7,0.2,0.9,99.4,5.1,60.9,32.9,0.2,1,36.8,1,5.3,61.7,1,5.2,60.6
80,Zn-Tails,7052,3.9,61.9,0,33,0.2,0.7,99.8,3.9,62.1,33.1,0.2,0.7,35.5,0.8,4.3,63.4,0.8,4.2,61.9
81,Zn-Tails,5228,2.4,63.5,0,33.6,0.3,1.2,101,2.4,62.8,33.3,0.3,1.2,35.5,1.3,2.7,63.2,1.3,2.7,62.8
82,Zn-Tails,7054,4,62.2,0,33.7,0.2,0.5,100.6,4,61.8,33.5,0.2,0.5,35.5,0.6,4.2,66.2,0.6,4,62.3
83,Zn-Tails,7128,4.8,61.3,0,32.9,0.3,0.4,99.7,4.8,61.5,33,0.3,0.4,35.3,0.5,6.7,66.9,0.5,6.1,60.3
84,Zn-Tails,7171,4.5,61.9,0,33,0.2,0.5,100.1,4.5,61.8,32.9,0.2,0.5,35.7,0.5,4.8,62.9,0.5,4.7,61.6
85,Zn-Tails,7220,4.1,62.5,0,33,0.2,0.4,100.3,4.1,62.3,32.9,0.2,0.4,36.8,0.5,4.2,62.9,0.5,4.2,62.1
86,Zn-Tails,7186,6.7,59.2,0,33.4,0.2,0.6,100.1,6.7,59.1,33.4,0.2,0.6,36.6,0.6,6.8,62,0.6,6.6,59.7
87,Zn-Tails,7214,5.9,60.4,0,33.4,0.2,0.6,100.6,5.9,60,33.2,0.2,0.6,36.3,0.7,6.4,63.9,0.6,6,60.2
88,Zn-Tails,5066,3.9,62.5,0,32.8,0.2,0.5,99.9,3.9,62.5,32.8,0.2,0.5,35.7,0.6,3.9,62.3,0.6,3.9,62.3
89,Zn-Tails,5126,5.5,60.5,0,32.8,0.2,0.6,99.5,5.5,60.8,32.9,0.2,0.6,35.9,0.8,5.5,59.5,0.8,5.6,60.4
90,Zn-Tails,5081,6.5,58.5,0,33.1,0.2,1.3,99.6,6.5,58.7,33.2,0.2,1.3,36.2,1.2,7.2,62.6,1.1,6.8,58.9
91,Zn-Tails,5063,8.3,56.2,0,33.2,0.1,1.8,99.5,8.3,56.4,33.3,0.1,1.8,38,2,8.5,59.4,2,8.1,56.8
92,Zn-Tails,7476,7.6,58.1,0,32.8,0.2,0.6,99.4,7.7,58.4,33,0.2,0.6,36.3,0.7,7.7,62.2,0.7,7.3,58.9
93,Zn-Tails,7530,2.9,64.1,0,32.9,0.2,0.4,100.6,2.9,63.7,32.8,0.2,0.4,34.4,0.5,3.1,65.4,0.5,3,63.3
94,Zn-Tails,7573,5.6,60.2,0,33,0.2,0.6,99.6,5.7,60.5,33.1,0.2,0.6,35.3,0.7,6,63.2,0.7,5.7,60.4
95,Zn-Tails,7572,4.7,61.6,0,33,0.2,0.5,100,4.7,61.6,33,0.2,0.5,35.6,0.5,4.8,64,0.5,4.6,61.7
96,Zn-CTails2,7913a ,6.6,58.6,0,33,0.4,1.2,99.9,6.6,58.7,33.1,0.4,1.2,36.6,1.3,7.3,66.9,1.2,6.4,59.2
97,Zn-CTails2,7913b ,6.6,58.8,0,33.2,0.2,1.3,100.1,6.6,58.7,33.2,0.2,1.3,37.1,1.4,7.3,65.5,1.3,6.6,58.9
98,Zn-CTails2,7934,3.9,62.6,0,32.6,0.2,0.2,99.5,4,62.9,32.7,0.2,0.2,34.2,0.5,4.2,70.2,0.4,3.8,62.6
99,Zn-CTails2,7942,3.9,62.4,0,32.7,0.2,0.6,99.7,3.9,62.6,32.8,0.2,0.6,35,0.7,4.3,69.5,0.7,3.9,62.2
