SAMPLE,DESCRIP,NUMBER,TAKEOFF,KILOVOLT,CURRENT,BEAMSIZE,LINE,REL_LINE,Zn_WT_PCT,S_WT_PCT,Ga_WT_PCT,Ge_WT_PCT,Mn_WT_PCT,Co_WT_PCT,Fe_WT_PCT,As_WT_PCT,Se_WT_PCT,Cd_WT_PCT,Cu_WT_PCT,Ni_WT_PCT,Sb_WT_PCT,Ag_WT_PCT,Pb_WT_PCT,TOTAL,Zn_AT_PCT,S_AT_PCT,Ga_AT_PCT,Ge_AT_PCT,Mn_AT_PCT,Co_AT_PCT,Fe_AT_PCT,As_AT_PCT,Se_AT_PCT,Cd_AT_PCT,Cu_AT_PCT,Ni_AT_PCT,Sb_AT_PCT,Ag_AT_PCT,Pb_AT_PCT,FORMULA,BASIS,Zn_FORMULA,S_FORMULA,Ga_FORMULA,Ge_FORMULA,Mn_FORMULA,Co_FORMULA,Fe_FORMULA,As_FORMULA,Se_FORMULA,Cd_FORMULA,Cu_FORMULA,Ni_FORMULA,Sb_FORMULA,Ag_FORMULA,Pb_FORMULA,Zn_CDL99,S_CDL99,Ga_CDL99,Ge_CDL99,Mn_CDL99,Co_CDL99,Fe_CDL99,As_CDL99,Se_CDL99,Cd_CDL99,Cu_CDL99,Ni_CDL99,Sb_CDL99,Ag_CDL99,Pb_CDL99,DATETIME
C12ADM2_ZnS_3,N/A,19,40,20,100,10,281,10,66.971,33,0.031,0,0.002,0.006,0.143,-0.022,-0.026,0.228,-0.006,-0.037,-0.01,-0.009,,100.271,49.797,50.026,0.022,0,0.002,0.005,0.125,-0.014,-0.016,0.099,-0.005,-0.031,-0.004,-0.004,,1,S,0.9954,1,0.0004,0,0,0.0001,0.0025,-0.0003,-0.0003,0.002,-0.0001,-0.0006,-0.0001,-0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,282,11,67.109,33.127,0.028,0.009,0.002,-0.002,0.134,-0.022,-0.023,0.183,-0.019,-0.027,-0.007,0.014,,100.508,49.761,50.079,0.02,0.006,0.001,-0.001,0.116,-0.014,-0.014,0.079,-0.014,-0.022,-0.003,0.006,,1,S,0.9936,1,0.0004,0.0001,0,0,0.0023,-0.0003,-0.0003,0.0016,-0.0003,-0.0004,-0.0001,0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,283,12,67.061,33.078,0.026,-0.003,0,0.003,0.129,-0.02,-0.013,0.162,0.005,-0.029,0.003,0.004,,100.408,49.778,50.058,0.018,-0.002,0,0.003,0.112,-0.013,-0.008,0.07,0.004,-0.024,0.001,0.002,,1,S,0.9944,1,0.0004,-0.0001,0,0.0001,0.0022,-0.0003,-0.0002,0.0014,0.0001,-0.0005,0,0,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0178,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,284,13,67.413,33.209,0.027,-0.001,0.001,0.001,0.127,-0.009,-0.012,0.156,-0.015,-0.023,0.005,-0.002,,100.879,49.814,50.03,0.019,-0.001,0.001,0.001,0.11,-0.006,-0.007,0.067,-0.011,-0.019,0.002,-0.001,,1,S,0.9957,1,0.0004,0,0,0,0.0022,-0.0001,-0.0001,0.0013,-0.0002,-0.0004,0,0,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.0181,0.0178,0.0103,0.0105,0.018,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,285,14,67.261,33.036,0.034,-0.001,0.001,0.004,0.135,-0.008,-0.019,0.173,-0.004,-0.025,-0.005,-0.022,,100.559,49.884,49.951,0.024,-0.001,0.001,0.003,0.117,-0.005,-0.012,0.075,-0.003,-0.021,-0.002,-0.01,,1,S,0.9987,1,0.0005,0,0,0.0001,0.0023,-0.0001,-0.0002,0.0015,-0.0001,-0.0004,0,-0.0002,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,286,15,66.746,33.014,0.028,0.005,0.001,0.003,0.136,-0.022,-0.018,0.169,-0.019,-0.032,-0.001,0.001,,100.01,49.716,50.133,0.019,0.003,0.001,0.002,0.118,-0.014,-0.011,0.073,-0.014,-0.026,0,0.001,,1,S,0.9917,1,0.0004,0.0001,0,0,0.0024,-0.0003,-0.0002,0.0015,-0.0003,-0.0005,0,0,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.018,,11/30/2017
C12ADM2_ZnS_4,N/A,20,40,20,100,10,287,1,66.947,33.314,0.003,-0.003,0.002,0.005,0.152,-0.009,-0.008,0.666,-0.041,-0.033,0.006,0.008,,101.009,49.461,50.179,0.002,-0.002,0.002,0.004,0.132,-0.006,-0.005,0.286,-0.031,-0.027,0.002,0.004,,1,S,0.9857,1,0,0,0,0.0001,0.0026,-0.0001,-0.0001,0.0057,-0.0006,-0.0005,0,0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0178,0.0103,0.0105,0.018,,11/30/2017
C12ADM2_ZnS_4,N/A,20,40,20,100,10,288,2,67.163,33.282,0.038,0.009,-0.001,0.001,0.14,-0.018,-0.006,0.418,-0.012,-0.027,0.008,0.014,,101.009,49.597,50.107,0.026,0.006,-0.001,0.001,0.121,-0.012,-0.004,0.179,-0.009,-0.022,0.003,0.006,,1,S,0.9898,1,0.0005,0.0001,0,0,0.0024,-0.0002,-0.0001,0.0036,-0.0002,-0.0004,0.0001,0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0178,0.0103,0.0105,0.018,,11/30/2017
C12ADM2_ZnS_4,N/A,20,40,20,100,10,289,3,67.341,33.278,0.082,0.008,-0.002,0.001,0.123,-0.01,-0.012,0.141,0.049,-0.042,-0.002,0.008,,100.964,49.704,50.076,0.057,0.005,-0.002,0.001,0.107,-0.007,-0.007,0.061,0.037,-0.035,-0.001,0.003,,1,S,0.9926,1,0.0011,0.0001,0,0,0.0021,-0.0001,-0.0001,0.0012,0.0007,-0.0007,0,0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_4,N/A,20,40,20,100,10,290,4,67.374,33.229,0.081,0.006,0,0.001,0.124,-0.005,-0.017,0.114,0.036,-0.026,0.005,-0.01,,100.912,49.759,50.034,0.056,0.004,0,0.001,0.107,-0.003,-0.011,0.049,0.028,-0.022,0.002,-0.004,,1,S,0.9945,1,0.0011,0.0001,0,0,0.0021,-0.0001,-0.0002,0.001,0.0006,-0.0004,0,-0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0178,0.0102,0.0105,0.0179,,11/30/2017
